page,review_index,nama,tanggal,tipe_traveler,rating,teks_ulasan,sumber,gambar-1,gambar-2,gambar-3,gambar-4,gambar-5,gambar-6,gambar-7,gambar-8,gambar-9,gambar-10
16,1,ITU,11 Januari 2024,Trip Keluarga,"4,4",Over all bagus Kolam renang anak aman. Kolam renang anak aman.,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2024/01/11/cdad3def-855e-4952-afef-05deb2ec43d8-1704986745604-a0f319f19b244fa28beb78a7ce8a5160.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2024/01/11/a8858ac6-2f87-45df-847b-321d1197ba78-1704986743415-862c9e289c34d15e5cfee72144d7983c.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2024/01/11/babe8963-460a-4a2d-9d56-9fe87f72dd9c-1704986743930-b9865d7196fcf6b10461929d56c38f3d.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2024/01/11/15ed7302-0d6d-46e7-97a9-a8fca11a34ea-1704986741792-0682bec3a52230c34a7adeb27c43b90b.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2024/01/11/269caeae-4ecd-4a20-a248-8db04f4301d2-1704986737761-adfebdd79725960ada69b99804842bc5.jpeg,,,,,
16,2,Junia Firdaus,28 Desember 2023,Trip Keluarga,"5,0",Bagus 👍👍👍👍👍,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/12/28/81e121e0-d1fe-4f21-a567-bde2fdc4ffe1-1703735241488-f572a94ce0fac73393f3ff460e17747a.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/12/28/8b033a56-bc01-4349-9935-fcddbd920a0c-1703735240748-dcf7bb63be5ed06c79a0f80461886e35.jpeg,,,,,,,,
16,3,sri puspita dewi,7 Desember 2023,,"5,0",Dekat dengan trans studio. Anak anak senang,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/12/07/18deb6b3-bf11-4394-92bc-a03f31eca0a8-1701934681247-50d4003a9e6da6085256e2fe0f4b62dc.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2023/12/07/213c5c0d-47bb-4b43-9c96-cd44d51c6a8e-1701934682630-83b209b964427846d9400c9270d2df55.jpg,,,,,,,,
16,4,Mardhiah Endah Sari,30 November 2023,,"4,6",amaze banget sih dengan hotel ini ada gulingnya donk tapi yang paling disayangkan banget ya pas mau extend lah harganya berubah 2 kali lipat karena efek ada tamu pameran di hotel trans...dan satu lagi...Selengkapnya,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/11/30/8ff4ade0-2394-415d-9769-cef08d0c0ed7-1701338353306-474931f52a0588089138d16fe7ce75c6.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/11/30/59e452a3-9191-444d-bbec-d69b25c2a430-1701338408960-a9dc91145bbdf49865fffb7a4f6e4317.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/11/30/1b9f29fe-52b4-4343-929e-ed172a024823-1701338409155-4b188f16d02c43066dd1a0243f4f3c0c.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/11/30/a826c383-1ecb-466f-9f25-1f5089b4887c-1701338406662-72f64bf9f30fe7dd2f2ac030a445257b.jpeg,,,,,,
16,5,alvvin listya hardika,24 November 2023,Perjalanan Bisnis,"5,0",,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/11/24/535d89cc-829f-43ab-aa25-cf857f31ce5f-1700781225740-a6e9a53ae37a7601c3b43c7c8fd6aa94.jpeg,,,,,,,,,
17,1,LS,24 Oktober 2023,Trip Pasangan,"4,4",Sarapan nya the best banyak pilihan. Untuk kamar mandi kurang bersih ada kuning dan rambut dimana2 pas kami check in.,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/10/24/5da86d3c-7a20-406e-aae3-61be7f1743d5-1698118568727-a6156544679428ec55db21ab6abc7c28.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/10/24/2132e55b-b648-410a-b9df-d800e1c93b90-1698118571978-483228f2d0ec5336df671f81dde4a64e.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/10/24/d037171b-bc7b-4f2f-9c1f-d7324fa81e38-1698118571647-18e799f03fddfd3b2edef5435dd1dd7c.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/10/24/b1d0d04a-ea86-4937-bb8d-25f08c7614e2-1698118571391-d4ba5cc8d4abc7ba074bc46fe255c41c.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/10/24/409f855d-b90f-4132-879b-d9340538c625-1698118572084-31a24b314d18b96bb65167a38660a08c.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/10/24/88ad0dc4-a86f-490f-8d33-29a4d4c5bba8-1698118912750-f9a18e551738b7b6e3849585fac8594e.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/10/24/9114861d-c1f7-42ae-b0e2-d2dd3121a223-1698118911171-9d3bd076574e97bd5e184a585422daa6.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/10/24/c4c5f153-b67e-4973-a155-1ef4c36bfcf7-1698118912569-f3fa2f9993ddc3ccdf798583beffd174.jpg,,
17,2,GG,25 September 2023,Perjalanan Sendirian,"5,0",Selalu nyaman kalo nginep disini,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/09/25/f4ecfbd2-f128-4ac1-b9fe-c796d807dda1-1695609008195-5d3ab5059087f7a86956e81694cb1ac5.jpeg,,,,,,,,,
17,3,Fatma Wati,8 September 2023,Trip Keluarga,"5,0",Kamar nya bersihhhhhh......pelayanaaaan nya ramahh...makaanaaaan nyaaa enaaaaakkk eeeenaaakkkk...keee mall tinggaaaallll jalaaaaann kaaaakiiiii...haaargaaa bersahaaabaaat.....next kalauuu keeee bandun...Selengkapnya,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/09/08/fd30a40e-0d9d-44c9-a780-552342709d71-1694161446482-2d76ac6426df433b96a92827d53fb4ef.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/09/08/3b337404-dbc4-470d-94bf-a6d360664d46-1694161448495-4b1b54db72ca06c605fd2a2d1472366b.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/09/08/b2e6f04f-6803-4eee-ab62-be60ff5c3e7e-1694161448171-797c7063b23d6b3b190a0afe1f3b0c56.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/09/08/9a73a571-3058-468b-a665-937fc54b8b08-1694161447732-63011adfb70d2ae00dc36bb10fbb819d.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/09/08/2eec15a8-dc68-4257-8d7a-53367f890148-1694161487461-c31ff247aa2e9c54f788d9ea7a87a94c.jpeg,,,,,
17,4,ADALAH,7 September 2023,Trip Keluarga,"5,0",Nyaman.. 🙏🏻,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/09/07/37a1cf46-cac8-44ef-8cfa-b14b5d3ab7cf-1694101289000-b58b1227b1d6a3f770b84c722b9861cd.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/09/07/a97c8d3e-2792-4bfc-b3f5-e793f97b28f4-1694101289065-efe3fdf68d8eb6b51eb04aa53b1a8605.jpeg,,,,,,,,
17,5,Rizky Pratami Agustine,13 Agustus 2023,Trip Pasangan,"4,6","Hotelnya sesuai dengan harga. Terjangkau, cukup, strategis. Yg ada jdwal ngaji deket bgt jd gampang masjid nya, yg suka ngopi tinggal trun ke bawah ke mall.",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/08/13/a912351d-764f-4a9d-89f5-391ebb0ec905-1691925489093-8c81fbf899a67ab2aa27b85c797e888b.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/08/13/9fb0dfed-c12c-487b-a1ca-3306173b2681-1691925490052-4a0b31f9e10c50554547c2b5028e6b6c.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/08/13/fd912ec7-7ba6-4ce5-b6db-edabde55d951-1691925489754-2a47d0d06e8a3a263d32447373485b5c.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/08/13/ae4301a3-9f25-4330-80f9-bd560aeaca25-1691925485279-404b942c99a4b4ce2348fb1247b9b24b.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/08/13/d71c74c0-632c-43fb-9f1c-b6a9c2c1650d-1691925487105-6326eafdd70bdecb98edbc0761693b6d.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/08/13/3899612d-1a14-4844-b96e-c388262bdd72-1691925490420-b7317bdaed99fa72239fe193e98faffb.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/08/13/6dab761f-fbb5-4f11-9d15-90f1f8bcfeb1-1691925490592-0fadfe8356f01531352e2284cfa75b6a.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/08/13/159cb819-219e-46f6-9551-490dbd9c6905-1691925490509-b9097a6ff2fead9a8601db50fc17e271.jpeg,,
18,1,BUKAN,7 Agustus 2023,Perjalanan Bisnis,"5,0","location strategis, deket mall dan acara kantor, ada masjid besar, deket bgt trans studio mall, tinggal jalan kaki tanpa capek. seneng banget pokoknya. worth it bgt pesen hotel disini",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/08/07/7f7b3c1c-6cfe-4547-8335-b42da8d94453-1691372392194-0c86df1f9b45bede06556f873fbab774.jpeg,,,,,,,,,
18,2,Intan Nadia Ayusita,6 Juli 2023,Trip Pasangan,"5,0",bagus lokasi aesthetic banget,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/07/06/dd9f16d8-510f-442f-bf5b-5637ed3946e3-1688648935519-8b6f2ef1dd0ecf3bed11cefba62d0fcc.jpeg,,,,,,,,,
18,3,syafrizal syafrizal,1 Juni 2023,,"5,0",Sangat menyenangkan,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/06/01/7a492e0d-e3fd-4007-aaa1-79f65ad696ea-1685622206211-b4112297e30b637f56515aa87fe83498.jpeg,,,,,,,,,
18,4,syafrizal syafrizal,31 Mei 2023,,"5,0",Tempat yang asik,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2023/05/31/1d113d82-15c6-4095-a462-a145553d7df4-1685515149361-478ae58581a8c35a11c9033cc77d0196.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2023/05/31/44e9cb0f-b3ed-4ada-8de0-6e28705ab088-1685515175246-345efcfb98b758ab1ce01a8b34c033d4.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/05/31/767d3f3e-6851-41fa-946a-42bcd090331b-1685515148839-9f76bca1e0bbdc42e6bffd9828e6cb1b.jpeg,,,,,,,
18,5,Syafrizal Syafrizal,30 Mei 2023,,"5,0",Tempat yang Asik,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/05/30/7a197111-484e-4f34-a0d5-cd2c6658a802-1685423229133-7f717fd3fa2aaabb43219a3653bfe5d7.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/05/30/9e1383a0-d72f-4f50-b355-63339187b977-1685423229049-588d79e635f006cf1853e993ef262a69.jpeg,,,,,,,,
