page,review_index,nama,tanggal,tipe_traveler,rating,teks_ulasan,sumber,gambar-1,gambar-2,gambar-3,gambar-4,gambar-5,gambar-6,gambar-7,gambar-8,gambar-9,gambar-10
4,3,LTD,10 November 2022,Perjalanan Sendirian,"5,0",ac dingin staff ramah..tp kmar mandi licin bgt mhon agar d perhatikan lg ya,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/11/10/92a4dc84-abcf-42da-9253-d63a078c0b08-1668067097394-d8d9794c145bff30cb06a62e9f8b7781.jpg,,,,,,,,,
4,4,LTD,5 November 2022,Perjalanan Sendirian,"5,0","Stafnya ramah dan nyaman... selalu ada di sini jika Anda berada di Bekasi, terima kasih Yusra...",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/11/05/911eedfa-36e8-42e4-be6a-3555b1f89fa7-1667602833990-9969aebc1978dcc00372b4cce1586788.jpg,,,,,,,,,
4,5,DAN,4 November 2022,Perjalanan Sendirian,"4,8",oke bagus harga sangat sesuai dengan staff yg ramah sarapan nya juga oke 👍🏻👍🏻 ke 2 x stay di Yurra In Pekayon,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/11/04/cc73f0e3-4e5c-4eb8-90de-fece2f42b11a-1667539585804-c35242d975baefeef02c4331cb72d7b1.jpg,,,,,,,,,
5,1,Desiska vianti,21 September 2022,Trip Keluarga,"5,0",,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/09/21/81605b6a-4874-459c-a1fa-a80b1a5ba24c-1663761355001-4ae8f0fc58c00d8422cf6aba44fd26ad.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/09/21/10a93c40-ab95-44a7-9fb9-b4a258e7578b-1663761355383-62e4215c52daa7e1e1dcef224433bf8d.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/09/21/b5845461-44d4-4a1c-9116-557faee7b9ac-1663761355646-933869192f96a8b12dcb46cd8c4bb7e3.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/09/21/04a9a1c9-c79a-4ac5-b73d-221f083d54c2-1663761356053-77a7273c72a38a39a76038dbe133e0d6.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/09/21/35d5e1d9-8a8e-4268-8866-6bbbd0bbf63e-1663761356430-8814b7d804e18dadb2eb9fb63fc8d7dc.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/09/21/621b981e-e3c6-4bf5-b73c-a42dcb436dd9-1663761356749-6fccc7969456510c828df344399dc6eb.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/09/21/2d75ad00-e26a-4aed-a893-fc8266cdabf1-1663761357007-4290e3fcc55e579deb7d2a1cadbef596.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/09/21/53d43a8f-80b7-4a79-b82f-2a43b5617d5c-1663761357302-9268ff425274cbce5c57d2d0c5302c5a.jpg,,
5,2,Desiska vianti,21 September 2022,Trip Keluarga,"5,0",Sdh ke 2x nya sy menginap di yusra inn.tmptnya tenang.nyaman.kamarnya bersih.makanannya enak.stafnya smuanya ramah.pelayanannya cepat.dengan harga yg relatif murah.terimakasih tiket.com & yusra inn hotel.😉🙏Lihat lebih sedikit,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/09/21/f945915a-2742-4320-bcb5-428e90a63864-1663761143999-d357a97cc963c59daea5a82e04876dab.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/09/21/83164bd8-a190-4e4d-b0df-5684a23f4ba0-1663761144449-410703b19e308e717d066b8ac54cf6a3.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/09/21/a0129275-7958-48a3-96fd-31244e823da2-1663761148639-e09bec07adb8430503a9422b285c255a.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/09/21/46a3a450-c31d-4f18-a6e9-46d18d79ceb7-1663761149124-1f628994259299fc94e28ab03f3967ba.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/09/21/45873b88-5974-4e91-96e2-95d3a6e76ff9-1663761149624-95721f2a0d5303af8798f3fadb6edf4b.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/09/21/c24eea5f-e59f-4ffa-a01a-57e6b95c458c-1663761149967-51643ae20f9c7cc059f526bc78d684b1.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/09/21/793d1e45-408a-429a-be6b-79d43ac5eddc-1663761151184-d3b5de68b25c486dae0499f1eb83c2d5.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/09/21/653c3310-c1d5-46ff-ba8c-dbdb8d2049be-1663761152140-8cd304996c750661a4fc4abdc31a8cef.jpg,,
5,3,Ola Yuliawati,30 Agustus 2022,,"5,0","selalu staycation dsni klo ke bekasi.. nyaman bgt privasi terjaga krna lift pakai akses, ac dingin bgt.. room bersih sekali sayang showercap nya ga ada huhuu..",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/08/30/cd197474-f5b4-4510-b661-428794ae54f8-1661872988638-1c689f96c0301f17816ec6d73e202213.jpg,,,,,,,,,
5,4,Metti Eryana Herawan Putri,10 Agustus 2022,,"4,2","Tempatnya strategis, ac nya dingin, air panasnya juga oke bgtt, kebersihan lumayann, pelayanannya si oke bgt, breakfast nya juga cukup menurut ku, lumayan oke untuk hotel iniii,, makasih yaaa yusraa in 😍Lihat lebih sedikit",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/08/10/ed5c829c-5fcf-4940-9481-4d7bd694ed26-1660099926650-fa979a034a452868d2366195aab00150.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/08/10/ba45d73c-1f40-4901-b586-0b38eb54b4ba-1660099926940-79f9bb4f2bebd3ad145146e764d2acf9.jpg,,,,,,,,
5,5,Fira Aryanti Kamasih,12 Juni 2022,,"4,0",Menyenangkan 🥰 recommended buangettt,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/06/12/423582d5-1d11-4ad3-9777-0ac665c2334d-1655009806708-4bc4e9b93d1c4c8761535df6b3a7a368.jpg,,,,,,,,,
6,1,LD,7 Mei 2022,Perjalanan Bisnis,"4,8",Bersih- rapihh. Cuma kurang pemanas air aja,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/05/07/909c8f21-e90e-4e4f-b274-f21acbf36c7a-1651935721559-61ee3e3798f399e49e9612ebf3ea50f1.jpg,,,,,,,,,
6,2,WH,16 Maret 2022,Perjalanan Bisnis,"3,0","Kesan pertama menginap krng bagus. Sprti handuk kasar n kumal, keset lantai KM gk layak, Baru hari kedua berubah yg selayaknya. Dlm kamar hnya ada air mineral. Klu mau buat kopi atau Teh dispenser tersedia d luar kamar TANPA GELAS ATAUPUN CANGKIR. sdkit kecewa sih tp its OkLihat lebih sedikit",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/03/16/2fe33074-0b3a-4592-9fab-e0fd0b4de9c5-1647392283831-077a12aeabf03f486fef9f33cdbe4df9.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/03/16/264dd720-8817-48d8-b9e7-376e4fb653a6-1647392284037-46de446927db48d44eb3e42923e0dd62.jpg,,,,,,,,
6,3,evi kurniaty,15 Maret 2022,,"4,0",Menyenangkan...apalagi cucuku menikmati sekali nginep di yusra,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/03/15/0461d484-f705-4f73-8fc0-426771711562-1647306717031-0f64bcba4867fc773c6241e7d51c8ab5.jpg,,,,,,,,,
6,4,DENGAN,24 Desember 2021,Perjalanan Bisnis,"5,0",aminitise cuma dikasih sikat gigi doang dan yang lainnya bayar semua,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2021/12/24/604d1311-d6e2-4f4b-bb36-2cecc1226f10-1640337690706-28af9b5d58e2f1f45ec2a23cf1a36bf0.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2021/12/24/aa42f566-6034-4341-976f-dcab44448afa-1640337690885-077ba90ffe4cc162a1c96b6399acd9f1.jpg,,,,,,,,
6,5,SM,26 September 2021,Trip Keluarga,"3,0","kamar nya oke, tp sayang kolam nya ga bisa dpake n kurang bersih",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2021/09/26/d82f8c68-2917-401b-92be-0cfc4a832429-1632651385690-f1b7fe7e9e65c120eea9cb52a2d6a820.jpg,,,,,,,,,
7,1,YH,8 Agustus 2021,Trip Pasangan,"3,4","dari harga dan lokasi sangat bagus, recomend bngt buat kalian yg butuh istrahat dengan fasilitas lengakap. yg di sayangkan adalah ketika km masuk ke lokasi, jika berkendaraan mobil/motor kalian haru melewati tempat yg tidak LAYAK, SAMPAH DIMANA *JUST MASUKAN MUNGKIN PENGELOLAH BISA LEBIH BAIK LAGI DLM PERAWATAN GEDUNG. krn tidak nyaman ketika kita mau keluar gedung berkendaraanLihat lebih sedikit",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2021/08/08/613aeb69-9f4f-4178-884a-a992c1c65f61-1628393457277-e09648b659fbf83c30144f2f758781ef.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2021/08/08/d9ef80ea-e189-40ee-9292-20b7c63c82f0-1628393457549-fdf2241db00778e4ecd06c13de140ec4.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2021/08/08/7a8dab9c-6e16-4443-af41-cb6f367a9b42-1628393458035-156748aa59e94fc699ace4eb6fbe8720.jpg,,,,,,,
7,2,NN,10 Januari 2021,Trip Keluarga,"2,4","Kamar bersih tp sayang fasilitas sangat2 tdk memuaskan, tidak ada pembuat teh atau kopi, tidak tersedia gelas minum, hanya ada 2 botol air mineral 600 ml, harusnya dng harga hampir 400 rb teko untuk membuat teh atau kopi, breakfast nya juga sangat2 kurang, masa cuma ada nasi goreng atau mie yg di anter ke kamar masing2😏Lihat lebih sedikit",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2021/01/10/1e84f872-b110-4b17-9989-617d661d3a07-1610258560414-eadaa901c28bbd699df8b15ce93dc33f.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2021/01/10/9ec9a0ac-c06b-4fbb-b217-9964990fa54b-1610258560568-28bcaa169e6f576becca6e144b5d129e.jpg,,,,,,,,
7,3,Hebron Junyardi,12 Desember 2020,Lainnya,"3,6","pelayanan nya bagus, mudah dicari lokasinya, kebersihan ok lah, hanya menu makanan nya dan penataan makanan nya masih lebih bagus abang2 nasi goreng pinggir jalan, kayak ngak niat menyajikan makanan nya, udah sarapan seadanya setidaknya ditata yang bagus lahLihat lebih sedikit",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2020/12/12/fa6ec4b6-879f-4965-a4f3-f5fed3276ff1-1607773347060-6757b8ca25f757f190c074fb71fa989a.jpg,,,,,,,,,
7,4,MG,10 Desember 2020,Trip Keluarga,"4,2","saya sering menginap disini, harga murah, pelayanan ramah, fasilitas cukup lengkap, lokasi strategis, cukup bersih dan nyaman.",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2020/12/10/7dcdfacb-2171-4410-b856-e5fedf00bd6c-1607554680937-242672b6650b508e5baabed4c3561b07.jpg,,,,,,,,,
7,5,Dwi Krisnanto,22 November 2020,Lainnya,"3,6","Bagus,cma sya telat check out 30 menit kena chast 50k...pdh blm 24 jam",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2020/11/22/f1ae35a3-e89b-4173-b57b-f774bca7b1cf-1606050058115-646e4d78412f571ff557b034f9af901d.jpg,,,,,,,,,
8,1,Anastasia Audina,15 November 2020,Trip Pasangan,"4,0","Termasuk murah buat kualitas hotel sih, ga nyesel jauh2 ke bekasi milih stay disini, btw buat breakfast ok, tapi untuk juicenya kurang karna kebanyakan air, receptionistnya ok, karna saya juga org perhotelan. Semaximal mungkin mereka kasih service yg baik untuk guest. Well done sunshine inn.Lihat lebih sedikit",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2020/11/15/116ceab4-a7d9-4ab6-91e9-763225326a57-1605420265466-9df490cfa5000c70b87497f284cce19d.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2020/11/15/be97d62f-c514-4e37-a28e-6f68734676b7-1605420265657-3b2e8d51e51136fc08c54ee20b321d2c.jpg,,,,,,,,
